creative,goal_DONATE_prediction,goal_DONATE_predicted_prob,goal_CONTACT_prediction,goal_CONTACT_predicted_prob,goal_PURCHASE_prediction,goal_PURCHASE_predicted_prob,goal_GOTV_prediction,goal_GOTV_predicted_prob,goal_EVENT_prediction,goal_EVENT_predicted_prob,goal_POLL_prediction,goal_POLL_predicted_prob,goal_GATHERINFO_prediction,goal_GATHERINFO_predicted_prob,goal_LEARNMORE_prediction,goal_LEARNMORE_predicted_prob,goal_PRIMARY_PERSUADE_prediction,goal_PRIMARY_PERSUADE_predicted_prob,goal_highest_prob
HOUSE/MI11 ACC WHEN MICHIGAN NEEDED HER MOST,0,0.004638937731378879,0,0.015474815252951989,0,0.04389672063671979,0,0.0326775802389183,0,0.0036451302032669613,0,0.007511716309705549,0,0.019893084576544928,1,0.6242349022656022,1,0.8528635024660352,PRIMARY_PERSUADE
HOUSE/MI11 CLF CALM LEADERSHIP,0,0.0038614361713505173,0,0.0061873851990767725,0,0.006516771456532894,0,0.024587761051143825,0,0.003090529947090163,0,0.005251390877259824,0,0.015557253261852907,1,0.8570535441363479,1,0.9289723192547348,PRIMARY_PERSUADE
HOUSE/MI11 CLF NOT YOUR NORMAL DEMOCRAT,0,0.004266049441893973,0,0.00732534747455952,0,0.00598082967967647,0,0.03184010529803931,0,0.003090529947090163,0,0.006437155069807664,0,0.01823295361728363,1,0.8953703496705145,1,0.9242881946159539,PRIMARY_PERSUADE
HOUSE/MI11 DCCC NO MATTER HOW MUCH WE'VE LOST,0,0.003428570814262135,0,0.008236394793507925,0,0.006808447138482168,0,0.04196155977204444,0,0.006229781856303664,0,0.0164674955766484,0,0.018124352026136086,1,0.6313563182928759,1,0.8702016094302665,PRIMARY_PERSUADE
HOUSE/MI11 ESSHAKI NURSE,0,0.004818790011086874,0,0.01093484959688856,0,0.007004211465522395,0,0.03824401968011341,0,0.0033056962913165858,0,0.011347536865204202,0,0.024341742590516684,1,0.7844113158854902,1,0.9070160004616517,PRIMARY_PERSUADE
HOUSE/MI11 ESSHAKI&MIRP EMBARRASSMENT,0,0.005039078988743198,0,0.01413135779858382,0,0.006664050152909159,0,0.030724123165840677,0,0.0036558147788405744,0,0.007010064282937542,0,0.03534327890445271,1,0.7774778883687731,1,0.8516179485726559,PRIMARY_PERSUADE
HOUSE/MI11 INDEPENDENCEUSA COVID CASES,0,0.004289599989143903,0,0.010897739267338762,0,0.008091898309244828,0,0.04316459934652169,0,0.0034406484346141512,0,0.0068414535722551555,0,0.01884170680433809,1,0.6613846829173363,1,0.7531225514034847,PRIMARY_PERSUADE
HOUSE/MI11 STEVENS A PLAN THEY CAN RELY ON,0,0.003019829420437559,0,0.0061873851990767725,0,0.006688132825716886,0,0.020553662703639522,0,0.003826872513227323,0,0.052096664638352316,0,0.025289102577934392,1,0.8219419372092464,1,0.8924949870685791,PRIMARY_PERSUADE
HOUSE/MI11 STEVENS AUTO TASK FORCE,0,0.027934135538005708,0,0.016141540975339114,0,0.03638995565077215,0,0.058791282302103565,0,0.005879663368779675,0,0.020260069506246682,0,0.04408651793658648,0,0.30241239502000555,0,0.4181707942587288,PRIMARY_PERSUADE
HOUSE/MI11 STEVENS GOOD PAYING JOBS,0,0.020953868083847485,0,0.008225830433099624,0,0.011771570790201129,0,0.028177662541652902,0,0.00513994970661088,0,0.008615849622809662,0,0.05600619822791762,1,0.5807341769646543,1,0.7570530108103806,PRIMARY_PERSUADE
HOUSE/MI11 STEVENS ROUND THE CLOCK,0,0.013814092804247766,0,0.01269950030133396,0,0.012967081294782705,0,0.039631616476448625,0,0.003090529947090163,0,0.00894201936708447,0,0.036325635922500335,1,0.5005770214262634,1,0.6848648412659692,PRIMARY_PERSUADE
HOUSE/MI11 STEVENS&DCCC PAUL RYZNAR,0,0.03518811991332828,0,0.00754819586753237,0,0.007100383707308073,0,0.03062331508015569,0,0.003826872513227323,0,0.017701630524574692,0,0.025645647077738188,0,0.47070343850950347,1,0.6191654251309711,PRIMARY_PERSUADE
HOUSE/MN01 CLF DEMOCRAT MEANS HIGHER TAXES,0,0.002702763528679437,0,0.0061873851990767725,0,0.007775611905942531,0,0.02347603075597237,0,0.003826872513227323,0,0.00527492669480924,0,0.0125473157826212,1,0.8860444587558106,1,0.9401624665809215,PRIMARY_PERSUADE
HOUSE/MN01 CLF TALK IS CHEAP,0,0.011768920509366813,0,0.007083202973253414,0,0.0064072778665923355,0,0.06229895141195848,0,0.009516057117790463,0,0.04643713549214034,0,0.023018685330465125,1,0.7809988852962496,1,0.8557270899958067,PRIMARY_PERSUADE
HOUSE/MN01 DCCC NEXT TIME YOU FILL A PRESCRIPTION,0,0.005009619168848061,0,0.008739450987976155,0,0.007100383707308073,0,0.04260280039300951,0,0.0070694598415410835,0,0.009215300339572758,0,0.013889229839377326,1,0.6276623400986026,1,0.808318465995439,PRIMARY_PERSUADE
HOUSE/MN01 FEEHAN ABOVE ALL ELSE,0,0.008470743082148544,0,0.0168382626548933,0,0.009519568176732824,0,0.04040250003822041,0,0.0034716142530038297,0,0.00908098190342681,0,0.036741546038443235,1,0.6395672417358325,1,0.7025192928451811,PRIMARY_PERSUADE
HOUSE/MN01 FEEHAN BUSINESS AS USUAL,0,0.004475698897544957,0,0.00754325611678678,0,0.01046659374290536,0,0.0278745280553741,0,0.003090529947090163,0,0.01911607564409454,0,0.023992645262158118,1,0.8142402384128334,1,0.89407005144579,PRIMARY_PERSUADE
HOUSE/MN01 FEEHAN CAN'T QUIT,0,0.013531519186758916,0,0.009748586489286388,0,0.00615878737223146,0,0.044851270588668696,0,0.0034716142530038297,0,0.00983156977225087,0,0.012742307409668436,1,0.5844136293826865,1,0.7633308439547474,PRIMARY_PERSUADE
HOUSE/MN01 FEEHAN SHRAPNEL,0,0.04819401288333687,0,0.006429529700382878,0,0.015985641393988132,0,0.04664160439475938,0,0.0032564479087774066,0,0.00741490257883061,0,0.019913305300875164,1,0.6314045778565309,1,0.7304900933462848,PRIMARY_PERSUADE
HOUSE/MN01 FEEHAN&DCCC CAN'T QUIT,0,0.011100588855464652,0,0.00890219688237615,0,0.008091898309244828,0,0.043764662834419626,0,0.0036558147788405744,0,0.01081435448669476,0,0.012941581751980038,1,0.6147581247112819,1,0.7672983020782826,PRIMARY_PERSUADE
HOUSE/MN01 HOUSEMAJPAC CRIME DOESN'T PAY,0,0.004586773545608625,0,0.006429529700382878,0,0.006757481686544246,0,0.034654467500510905,0,0.00486293049086761,0,0.005115163834075569,0,0.018615302544007523,1,0.8624688442874309,1,0.922211225363081,PRIMARY_PERSUADE
HOUSE/MN02 CRAIG BREWERY,0,0.007208315858630109,0,0.008170219112131562,0,0.01043706757269956,0,0.03960421749322472,0,0.0032564479087774066,0,0.02487436373454127,0,0.04950955532481526,1,0.6741666362339238,1,0.8023804972500073,PRIMARY_PERSUADE
HOUSE/MN02 CRAIG COLLEGE JOSH,0,0.005376998502774491,0,0.015831666093931784,0,0.06335275280761035,0,0.07582886143752958,0,0.006468416854971577,0,0.008462271774592587,0,0.07306273192118125,1,0.5502705902325324,1,0.7537047034876722,PRIMARY_PERSUADE
HOUSE/MN02 CRAIG NEVER GIVE UP,0,0.00917657749881755,0,0.0078461048602975,0,0.007630868110446592,0,0.04057510878625288,0,0.0037157712591712974,0,0.01384215267315368,0,0.020857300799515192,1,0.7381402509005549,1,0.8173919800499748,PRIMARY_PERSUADE
HOUSE/MN02 CRAIG&DCCC STRUGGLE AND SACRIFICE,0,0.016438224192710234,0,0.010596327681291571,0,0.00630950511923449,0,0.055397235894092824,0,0.0033056962913165858,0,0.00984226175136029,0,0.03936459084858676,1,0.6112208967431397,1,0.6735338878464365,PRIMARY_PERSUADE
HOUSE/MN02 HOUSEMAJPAC NOW MORE THAN EVER,0,0.005314722457139093,0,0.010425286211947365,0,0.006585991551861594,0,0.03263843073861496,0,0.0034406484346141512,0,0.01903469352481638,0,0.023447757231484054,1,0.7684322860097328,1,0.7314510320781299,LEARNMORE
HOUSE/MN02 KISTNER THE LAND I DEFEND,0,0.006230809792679247,0,0.0072453471240216515,0,0.00630950511923449,0,0.0407269989655776,0,0.0035498532974840534,0,0.007156172091703592,0,0.022447742579648433,1,0.7873844893737925,1,0.8715306098344748,PRIMARY_PERSUADE
HOUSE/MN02 KISTNER THREE YEARS AGO,0,0.0036012118386254677,0,0.006690441393545001,0,0.007489720848904381,0,0.03155250083072054,0,0.004491251044827563,0,0.03512807900742711,0,0.03106790793552613,1,0.7613411023463721,1,0.8836066398296802,PRIMARY_PERSUADE
HOUSE/MN03 QUALLS BUS IN HARLEM,0,0.008382034549678015,0,0.006964235923122451,0,0.007449331021070085,0,0.04175317893140028,0,0.0038602965474933844,0,0.007156172091703592,0,0.01890758640849244,1,0.575067648768993,1,0.7640495039517443,PRIMARY_PERSUADE
HOUSE/MN03 QUALLS LOOK LIKE ME,0,0.010869327788871695,0,0.007819299800594596,0,0.007109271620040908,0,0.06213813046073155,0,0.003090529947090163,0,0.007315934952437263,0,0.019056200378916227,1,0.5648610539121707,1,0.8329205291394902,PRIMARY_PERSUADE
HOUSE/MN03 QUALLS OVERCAME POVERTY,0,0.0032161304421041217,0,0.006690441393545001,0,0.014140546708764976,0,0.02435639383186239,0,0.0032564479087774066,0,0.005732064506406022,0,0.01674043973179355,1,0.8545713857253128,1,0.9365195583344259,PRIMARY_PERSUADE
HOUSE/MN05 JOHNSON BARBERSHOP TALK POLICE,0,0.00788859039535629,0,0.009226311134210213,0,0.00970836833629957,0,0.0326844007357142,0,0.00828607289665792,0,0.027536290113163168,0,0.02336375205258312,1,0.7077256765956084,1,0.7384058657832986,PRIMARY_PERSUADE
HOUSE/MN05 JOHNSON BREAKS MY HEART 60,0,0.018415661588850583,0,0.007586259167721644,0,0.008012292684704618,0,0.05639080755946971,0,0.013207496976844566,0,0.007848848464639346,0,0.03529489772599035,1,0.5775622917548826,1,0.7863107486735159,PRIMARY_PERSUADE
HOUSE/MN05 JOHNSON WHEN LEADERS LED,0,0.009461222111323572,0,0.011719016992255988,0,0.015727515307089678,0,0.05661677728012762,0,0.006465104273182087,0,0.010905030341723253,0,0.01884170680433809,1,0.5458031444372965,1,0.5713710713777628,PRIMARY_PERSUADE
HOUSE/MN07 CLF CHANGES A MAN,0,0.004125606626549645,0,0.009748586489286388,0,0.009358182476946988,0,0.04097337442285486,0,0.0032564479087774066,0,0.006243062427164174,0,0.025093586039484497,1,0.7086348633650618,1,0.8590825326472202,PRIMARY_PERSUADE
HOUSE/MN07 CLF GONE TOO FAR,0,0.014377469235656987,0,0.006690441393545001,0,0.00598082967967647,0,0.02676496234463349,0,0.0041044535536608525,0,0.005100016856183999,0,0.019310804659923075,1,0.7296983507322885,1,0.8516648600466284,PRIMARY_PERSUADE
HOUSE/MN07 CLF WASHINGTON CHANGED NEWSPAPER,0,0.007513447327070528,0,0.013181498800094425,0,0.011488495206748344,0,0.029608575110051764,0,0.0034406484346141512,0,0.005724201454000792,0,0.03602309694645342,1,0.6076100134125715,1,0.7534805552021777,PRIMARY_PERSUADE
HOUSE/MN07 CLF WASHINGTON'S CHANGED,0,0.009470307658633936,0,0.009748586489286388,0,0.00713951702895247,0,0.0360029795393414,0,0.003090529947090163,0,0.007866302106115018,0,0.038297514392664656,0,0.4929449002716767,1,0.6431550059113976,PRIMARY_PERSUADE
HOUSE/MN07 CSRC ERIK BAKKE,0,0.007278799088060313,0,0.008225830433099624,0,0.0076763651795195165,0,0.06790001266163753,0,0.0032564479087774066,0,0.0066035754884745616,0,0.018534031441779095,1,0.614525559575753,1,0.8383996571453403,PRIMARY_PERSUADE
HOUSE/MN07 DCCC DISASTER,0,0.0023316004215101016,0,0.0061873851990767725,0,0.006874508835457998,0,0.029190898953017394,0,0.0034406484346141512,0,0.005411153737993495,0,0.01499825965186214,1,0.8414437697209279,1,0.9390237023599892,PRIMARY_PERSUADE
HOUSE/MN07 DCCC SOMETHING FISHY,0,0.004154840200429942,0,0.010596327681291571,0,0.006249259497146081,0,0.032304401617619716,0,0.011095346333065706,0,0.005877337978753286,0,0.025399695534007866,1,0.7151990700070002,1,0.8757847204018807,PRIMARY_PERSUADE
HOUSE/MN07 DCCC TWIN CITIES INSIDER,0,0.0035399979725078785,0,0.010103202877517491,0,0.007269477337280403,0,0.025620708128956914,0,0.015148790198515335,0,0.007537711582829849,0,0.027303961743843235,1,0.6582719251464745,1,0.8859767182764557,PRIMARY_PERSUADE
HOUSE/MN07 FISCHBACH&NRCC ALLY,0,0.009015170223654544,0,0.008932093980108422,0,0.006522902891366948,0,0.026206474053497145,0,0.0036451302032669613,0,0.008466823897936985,0,0.016745196045884304,1,0.8006955255354091,1,0.8174144896692268,PRIMARY_PERSUADE
